transaction_count,transaction_amount,account_dormancy_days,high_risk_geographic_transfers,crypto_involvement,is_fraud
5,702.7846689285738,18,0,1,0
4,1267.459247349778,29,0,0,0
4,1985.153492430679,32,1,0,0
5,197.5435601599549,38,0,0,1
5,1609.4553214040425,25,0,0,0
3,804.5415873998298,38,0,0,0
5,505.0981935027793,34,2,0,1
4,141.23531011449273,29,0,0,0
6,2004.673710604255,19,0,1,0
7,171.11246387631098,41,1,0,0
2,370.75627822243246,28,1,0,0
5,342.5544405277208,25,0,1,0
5,2051.15760370031,29,0,0,0
6,1116.8872457261293,22,1,1,1
4,1592.9810583106407,29,0,0,1
6,288.30613219322623,35,1,1,0
6,980.4935749765662,27,1,0,0
1,848.0387621225359,23,0,1,0
7,1788.7462741929173,28,0,0,0
2,2365.3871012100744,19,0,0,0
11,12.231269408971249,35,1,0,0
4,1120.919000889536,27,0,0,0
3,53.227584046222745,23,0,0,0
8,795.9746073698896,30,1,0,0
3,339.161670569886,31,3,0,1
3,366.4029645294619,23,0,0,0
5,435.34484967911715,30,2,0,1
8,970.9910051382612,32,0,0,0
3,406.540634782834,30,0,0,0
2,1319.3801039927687,29,0,0,0
5,518.3998787738292,36,0,0,0
3,70.80150641358878,29,0,0,0
8,1531.3656485833335,34,0,0,0
10,336.5338929517138,33,1,0,0
3,566.9849126609429,37,1,1,0
2,1156.5927870318258,31,1,0,0
5,404.1502086904978,28,0,0,0
7,58.24970382389809,30,0,0,0
6,468.2787928521474,30,0,0,0
6,2890.4462491680324,36,1,0,0
2,1026.480660671112,37,2,0,1
4,1113.1549686950416,27,0,0,0
9,1000.4393567361385,34,0,0,0
7,221.8845179287726,24,0,0,0
11,541.8586455108923,31,0,0,0
8,1390.060638098674,32,0,0,0
3,106.88712205436364,31,1,0,0
2,325.52624964329505,33,1,1,0
3,323.40474130810196,31,0,0,0
4,565.6671840459809,26,0,0,0
5,3930.632133279656,24,3,1,1
5,69.88885849612299,23,0,0,0
4,731.2665687059473,35,0,0,0
3,197.67646067551132,21,0,0,1
8,3529.367585225774,36,0,1,1
2,120.25252515554251,24,0,0,0
1,516.8453767797388,25,1,0,0
4,1338.971882367708,37,0,0,0
5,1219.270648703156,26,0,1,0
4,549.4428230199096,37,1,0,0
3,425.4497289318204,32,0,0,0
4,506.8541514341259,23,1,1,0
8,306.90058827003935,27,1,0,0
2,229.83204287133748,30,0,0,0
2,659.7891918683802,16,1,0,0
2,312.7042059539351,25,0,0,0
7,338.9215646337138,39,2,1,1
6,1069.3138993831842,29,0,0,0
7,3458.953569306316,23,2,1,1
6,925.4253269426673,29,1,0,0
7,80.10379885994509,28,0,0,0
6,78.59267448855108,24,0,1,0
4,3024.60965743243,25,3,0,1
2,352.81211471835945,30,1,0,0
3,96.58467632080676,39,0,0,0
4,913.9050477588241,30,1,1,0
7,977.2324713005839,29,0,0,0
4,1045.5592808231318,24,0,0,0
3,311.15819666956594,29,0,0,0
2,15.226013884891113,22,0,0,0
6,3352.846441207963,26,1,0,1
3,288.87350951926584,28,0,0,0
5,1127.092902446161,28,1,0,0
9,1226.3202244500762,23,0,0,0
6,941.6275581918197,25,0,0,0
6,375.28619848408925,31,0,1,0
9,316.21359103256594,28,0,0,0
4,910.4783632203589,30,0,1,0
9,2010.6294174939903,25,0,0,0
2,2932.4519609425633,26,0,0,0
10,111.94414515742713,33,0,1,1
6,168.215846863097,38,0,0,0
9,2895.6382596989192,26,0,0,1
4,1333.8356138087227,45,1,1,0
1,2145.528566344447,34,1,0,0
6,226.43977054999206,27,0,0,0
8,885.727267264709,20,0,0,0
6,1207.7786855710813,26,0,0,0
2,1139.7839863491777,24,2,0,1
3,524.5049115039434,40,0,0,0
5,15.514623464414974,21,0,0,0
3,874.4917510906712,31,0,0,0
3,291.8260323785145,30,0,0,0
5,598.2993733477003,29,0,0,0
6,3160.1592595005436,34,1,0,1
5,509.2191109697122,31,0,0,0
3,1831.3422735144418,18,1,0,0
5,208.92093117129653,25,0,0,1
3,1116.1466144629726,28,0,0,0
3,3772.5634756856643,39,1,0,1
6,107.46617642062763,33,0,1,0
5,8.354746125244857,24,1,0,0
6,568.4243568250689,27,0,0,0
2,97.19999573860999,36,0,0,0
4,1379.852552895761,34,2,0,1
7,2459.808232896316,26,0,1,0
6,569.1982557212377,27,1,1,0
5,299.36558249531925,29,0,0,0
4,569.8740325333455,22,1,0,0
3,1285.3557519560595,38,0,1,0
3,9.09539960722861,34,0,1,0
7,890.267272289478,40,1,0,0
7,950.0845778521457,31,2,0,1
6,1015.2502413531679,38,1,0,0
6,277.1010230264016,27,1,1,0
7,1251.9478326323365,22,1,0,0
8,95.840955605836,29,0,0,0
6,222.2318875893984,20,0,0,0
3,2099.3997617805207,34,0,0,0
7,1342.1747086453292,33,0,0,0
5,13.840898858926483,22,0,1,0
5,285.5194264836808,31,0,0,0
7,241.31577425847263,46,0,0,0
4,315.8159142692778,27,1,0,0
9,284.43371445712245,29,0,0,0
4,64.56657032331469,32,0,0,0
5,614.2260553421355,31,0,0,0
2,1319.5088966992705,30,1,0,0
6,933.2632656949173,28,1,0,0
3,1117.4027343031469,27,1,0,0
6,84.63149682819495,21,0,0,0
2,3025.999956634014,30,0,1,1
3,1823.1995731582892,25,0,1,0
5,1635.2189994881976,35,0,0,0
3,1731.5140536547308,28,0,0,0
4,2698.751193196384,27,0,1,0
5,785.8195678500352,33,0,0,0
6,223.49613579934706,28,2,1,1
3,959.1554567975783,31,2,1,1
3,1358.2181862348355,20,0,0,0
4,1339.0955323734006,22,0,0,0
5,736.9925411967153,41,0,1,0
4,70.91477358703708,20,0,0,0
2,463.80359075629445,31,2,0,1
6,2535.3574587032663,32,0,0,0
6,878.1497113730817,26,1,0,0
8,772.9091380348863,28,0,0,0
1,313.1414485858638,33,2,0,1
6,459.5764535531472,20,0,1,0
2,2257.096460059006,24,1,0,0
5,1098.0016177460652,36,0,0,0
2,1548.2817930749604,29,1,0,0
6,605.7691464212985,37,0,0,0
4,994.9206573550218,25,0,0,0
3,285.5292031963382,40,2,1,1
5,1222.3432806039843,32,1,1,0
6,557.9195613223623,28,1,0,0
3,584.3744199039752,30,1,0,0
4,1047.8877810532038,29,1,0,0
8,2753.2665471097384,36,0,0,0
4,66.14658309229908,36,0,0,0
10,1741.5031652071518,36,0,0,0
4,345.8524481461356,28,1,1,0
5,586.8421292278964,26,0,0,1
10,22.156991989469393,30,0,0,0
3,358.1704585696388,27,1,0,0
4,698.4235614676293,27,1,0,0
7,57.81565284795499,26,0,0,0
5,675.4953535639746,28,0,0,0
10,2618.8124511245783,27,0,0,0
4,111.37100709082458,28,0,0,0
2,1445.7927117388012,33,0,0,0
3,527.0753607973251,24,1,0,1
5,1064.714509120123,25,1,0,0
8,301.4248709145652,31,1,0,0
4,173.74912039518327,24,0,1,0
3,174.90427012821894,29,1,0,0
8,73.09980660067168,38,0,0,0
6,205.3609836776891,28,0,0,0
8,1091.297263786332,32,1,0,0
3,2134.452152258195,25,0,0,0
3,1682.6845626614074,23,0,0,0
5,1155.609111636457,29,1,0,0
11,117.01917381063149,28,0,0,0
7,341.3465214844297,31,1,1,0
4,370.7838297159636,35,0,0,0
3,287.6246692962019,31,1,1,0
8,723.6180576173268,33,0,0,0
8,766.909582939844,39,0,0,0
3,441.43323791725777,31,1,1,0
3,436.6294487848321,29,0,0,1
6,1763.4962509770876,35,0,0,0
2,1557.2860162690783,25,0,0,0
7,367.87432595670373,40,0,0,0
5,2450.951048502833,29,0,0,0
5,3053.679593846005,37,0,0,1
6,395.62746978779023,25,1,1,0
1,437.61380712418645,18,0,0,0
10,704.4794557708601,29,0,1,1
2,2832.267604481353,28,0,1,0
5,2090.053110892787,24,0,0,0
4,108.21788581405427,35,2,0,1
5,498.7830002340476,23,0,1,0
4,806.0274314681736,26,2,1,1
5,699.4318327840682,28,0,0,0
6,215.50166000817745,19,1,0,0
